검색조건
대출기간,2026-01-01 ~ 2026-06-27
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-06-28
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"147","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","32","9791194616016","74910","911","7,737",
"148","세계를 건너 너에게 갈게 :이꽃님 장편소설 ","글쓴이: 이꽃님","문학동네","2018","","9788954650212","03810","813.7","7,725",
"149","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","4","9791168410541","77810","691","7,705",
"150","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","10","9791168415539","77490","472","7,690",
"151","흔한남매 과학 탐험대 6 : 물리 2","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","6","9788934946793","","","7,677",
"152","나의 완벽한 장례식 :조현선 장편소설 ","지은이: 조현선","책읽어주는남자","2026","","9791124038192","03810","813.7","7,670",
"153","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","19","9791171712267","77400","408","7,643",
"154","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","5","9791190409384","74810","813.7","7,639",
"155","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","2","9791168414921","77030","388","7,637",
"156","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","11","9791168416840","77490","472","7,633",
"157","양면의 조개껍데기 :김초엽 소설집 ","지은이: 김초엽","인플루엔셜","2025","","9791168343108","03810","813.7","7,561",
"158","(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ","코이케 류노스케 지음 ;박재현 옮김","콘텐츠그룹 포레스트","2024","","9791193506516","03100","224.2","7,549",
"159","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","03830","833.6","7,546",
"160","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","03400","490.99","7,528",
"161","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","1","9791130679990","74810","813.7","7,511",
"162","다크 심리학 =Dark psychology ","다크 사이드 프로젝트 지음","어센딩","2025","","9791198754080","03180","331.18","7,509",
"163","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","33","9791194616023","74910","911","7,502",
"164","나미야 잡화점의 기적 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756194","03830","833.6","7,495",
"165","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","1","9791164137176","77810","691","7,492",
